category,name,original_price,discounted_price,PUM,url
Mamás y bebés,Nistatina + Oxido De Zinc Unguento Procaps,$ 24.200,$ 19.360,"$403,33",https://www.drogueriascolsubsidio.com/nistatina--oxido-de-zinc-unguento-procaps-7703153023621/p
Mamás y bebés,Fórmula Infantil Baby Klim Etapa 2,$ 61.000,,"$76,25",https://www.drogueriascolsubsidio.com/formula-infantil-baby-klim-etapa-2-7501058631145/p
Higiene y Cuidado,Jabón Antibacterial Protex Avena 3x110 Gr,$ 12.250,$ 9.800,"$37,12",https://www.drogueriascolsubsidio.com/jabon-antibacterial-protex-avena-3x110-gr-7702010920615/p
Higiene y Cuidado,Oxy 10 10% Gel Tópico Color Piel,$ 32.900,,"$1.096,67",https://www.drogueriascolsubsidio.com/oxy-10-10-gel-topico-color-piel-310742039535/p
Higiene y Cuidado,Enjuague Bucal Listerine Cool Mint Zero Alcohol,$ 27.600,$ 22.080,"$55,20",https://www.drogueriascolsubsidio.com/enjuague-bucal-listerine-cool-mint-zero-alcohol-7891010974336/p
Higiene y Cuidado,Crema Corporal Lubriderm Humectación Diaria X 946 ML,$ 67.150,$ 57.077,"$70,98",https://www.drogueriascolsubsidio.com/crema-corporal-lubriderm-humectacion-diaria-x-946-ml-7702031244523/p
Higiene y Cuidado,Protector Solar Sun Pro Familiar Spf105+,$ 74.650,$ 59.750,"$622,08",https://www.drogueriascolsubsidio.com/protector-solar-sun-pro-familiar-spf105-7702277140641/p
Higiene y Cuidado,Ropa Interior Absorbente Tena Pants Clásico M x 16 Unidades,$ 54.200,,"$3.387,50",https://www.drogueriascolsubsidio.com/panal-tena-pants-clasico-medium-x16-7702026181949/p
Higiene y Cuidado,Protectores Nosotras Diarios Largos,$ 12.600,,"$252,00",https://www.drogueriascolsubsidio.com/protectores-nosotras-diarios-largos-7702027440946/p
Higiene y Cuidado,Jabon De Azufre Pili,$ 5.850,,"$58,50",https://www.drogueriascolsubsidio.com/jabon-de-azufre-pili-7701684000043/p
