brand,category,discounted_price,image_url,invima,list_price,name,presentacion,product_id,pum,sku,stock,subcat1,subcat2,subcat3,subcat4,url
BOEHRINGER,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/198988/4048846008923.jpg?v=638621168402900000,2020M-0015993-R1,177250,Jardiance 25 Mg Tableta Recubierta,CAJA X 30 TAB,14576,"Tableta a $5.908,33",14592,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/jardiance-25-mg-tableta-recubierta-4048846024077/p
LAFRANCOL,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/161190/CJ-7706569001177.jpg?v=637111988976600000,2022M-004669-R3,55550,CAJA - Cefradina 500 mg Cápsula Dura La Francol,CAJA X 24 CAP,5694,"Capsula a $2.314,58",5667,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/caja---cefradina-500-mg-capsula-dura-la-francol-cj-7706569001177-1/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/204396/SUCRALFATO 1G-5ML SSN FCOX200ML_EAN 7705959885342.jpg.jpg?v=638791172879100000,2022M-0017636-R1,99650,Sucralfato 1g / 5 Ml Suspensión Genfar,FRASCO X 200 ML,3377,"Mililitro a $498,25",3375,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/sucralfato-1g--5-ml-suspension-genfar-7705959885342/p
LAFRANCOL,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/161194/CJ-7706569021168.jpg?v=637111989189170000,2021M-004225-R3,58200,CAJA - Cefalexina 500 Mg Tableta La Francol,CAJA X 50 TAB,5733,"Tableta a $1.164,00",5724,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/caja---cefalexina-500-mg-tableta-la-francol-cj-7706569021168-1/p
FAES FARMA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/160618/8436024610802.jpg?v=637109887335200000,2022M-0013955-R2,80200,Venosmil 200 mg Cápsula Dura,CAJA X 20 CAP,5137,"Capsula a $4.010,00",5127,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/venosmil-200-mg-capsula-dura-8436024610802/p
PROCAPS,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/190341/CJ-7703153039745.jpg?v=638274936306830000,2021M-0020172,31400,CAJA - AMOXICILINA 500MG CÁPSULA DURA PROCAPS S.A.,CAJA X 50CAP,12431,"Tableta a $628,00",12446,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/caja---amoxicilina-500mg-capsula-dura-procaps-sa-cj-7703153039745-1/p
GLAXOSMITHKLINE,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/159309/7707172689684.jpg?v=637108482106700000,2016M-0011533-R1,76250,Duodart 0.5 Mg/0.4 Mg Cápsula Dura,FRASCO X 30 TAB,3736,"Tableta a $2.541,67",3730,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/duodart-05-mg04-mg-capsula-dura-7707172689684/p
LAFRANCOL,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/164984/CJ-7706569000026.jpg?v=637244719003700000,2023M-0006751-R2,32100,CAJA - Amoxicilina 500mg Cápsula Dura Lafrancol,CAJA X 50 TAB,7041,"Capsula a $642,00",7042,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/caja---amoxicilina-500mg-capsula-dura-lafrancol-cj-7706569000026-1/p
GENFAR,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/164542/CJ-7702605100750.jpg?v=637244283774300000,2020M-006934-R2,63650,CAJA - Dicloxacilina 500 mg Cápsula Dura Genfar,CAJA X 50 CAP,6600,"Capsula a $1.273,00",6601,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/caja---dicloxacilina-500mg-capsula-dura-genfar-cj-7702605100750-1/p
NOVAMED,Medicamentos,49045,https://colsubsidio.vtexassets.com/arquivos/ids/158535/7703546023283.jpg?v=637108467440930000,2022M-0014820-R1,57700,Lanzor 30 Mg Tableta,CAJA X 28 TAB,2914,"Tableta a $2.060,71",2910,10000,Formulados,,,,https://www.drogueriascolsubsidio.com/lanzor-30-mg-tableta-7703546023283/p
