brand,category,discounted_price,image_url,invima,list_price,name,presentacion,product_id,pum,sku,stock,subcat1,subcat2,subcat3,subcat4,url
NUTRABIOTICS S A S,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/193126/7709444129959.jpg?v=638319467134930000,SD2011-0002225,107550.0,Calmessens Capsula Dura,FRASCO X 60 CAP,13462,"Capsula a $1.792,50",13472,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/calmessens-capsula-dura-7709444129959/p
OCELESTE,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/187874/7709052630090.jpg?v=638209671091530000,NSOC84601-18CO,9550.0,Havva Essence Relief Inhalador Nasal,"TUBO X 1,25 ML",9671,"Mililitro a $7.640,00",9673,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/havva-essence-relief-inhalador-nasal-7709052630090/p
VITANAS,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/211538/33844005580-1.jpg?v=639126398314400000,PFM2016-0002548,22400.0,Te Badia Natural Herbs Polvo Para Reconstituir A Solución Oral,CAJA X 25 SOB,10768,"Sobre a $896,00",10770,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/te-badia-natural-herbs-polvo-para-reconstituir-a-solucion-oral-33844005580/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203144/1410013_COQ-10 200MG SOFTGELS CBL CJX30 HAC_751273788743.jpg.jpg?v=638750634363770000,SD2020-0004508,91500.0,Coq-10 200mg Softgels Cápsula Blanda,CAJA X 30 CAP,11133,"Capsula a $3.050,00",11135,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/coq-10-200mg-softgels-capsula-blanda-751273788743/p
COMPAÑÍA COLOMBIANA DE QUIMICO,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/197744/7861000165648.jpg?v=638543166647600000,PFM2018-0002623,125500.0,Birm Inmunomodulador Solucion Oral,FRASCO X 120 ML,14453,"Mililitro a $1.045,83",14469,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/birm-inmunomodulador-solucion-oral-7861000165648/p
SUMMA DISTRIBUCIONES SAS,Medicamentos,39000.0,https://colsubsidio.vtexassets.com/arquivos/ids/208620/7708994009704.jpg?v=638941619571200000,RSA-0017547-2022,78000.0,Guarana Fylmut Sabor Vainilla Polvo Ava,FRASCO X 450 G,15882,"Gramo a $173,33",15901,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/guarana-fylmut-sabor-vainilla-polvo-ava-7708994009704/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205745/7707232094212-1.jpg.jpg?v=638830072455000000,NSA-000122-2015,57500.0,Fybofort Psyllium Fibra Polvo,TARRO X 400 G,7114,"Gramo a $143,75",7115,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/fybofort-psyllium-fibra-polvo-7707232094212/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203124/1212175_SAW PALMETTO 320MG CBL FCOX60CBL HA_751273778454.jpg.jpg?v=638750628794830000,PFM2012-0001884,68450.0,Saw Palmetto 320 Mg Cápsula Blanda,FRASCO X 60 CAP,263,"Capsula a $1.140,83",263,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/saw-palmetto-320-mg-capsula-blanda-751273778454/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205685/7707232091761-1.jpg.jpg?v=638830054145000000,NSA-0021548-2026,24000.0,Propoleo Emulsion,FRASCO X 350 G,4151,"Gramo a $68,57",4146,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/propoleo-emulsion-7707232091761/p
FUNDACION FARMACOLOGIA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/176574/7707176460371.jpg?v=637708597224470000,NSOC22538-23CO,30200.0,Árnica Crema,POTE X 60 G,3749,"Gramo a $503,33",3743,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/arnica-crema-7707176460371/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205781/7707232096186-1.jpg.jpg?v=638830084678130000,SD2024-0002001-R1,27000.0,Cloruro De Magnesio Cápsula,FRASCO X 50 CAP,4204,"Capsula a $540,00",4199,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/cloruro-de-magnesio-capsula-7707232096186/p
FUNAT,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/202977/sangrededragoextracto60ml_7706849116676_1_1200x1200_MEDICINANATURAL_funat_col.jpg.jpg?v=638749920999570000,PFM2013-0002148,27650.0,Extracto de Sangre de Drago Solución Oral,FRASCO X 60 ML,3598,"Mililitro a $460,83",3593,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/extracto-de-sangre-de-drago-solucion-oral-7706849116676/p
INTERNAL PERFUMERIA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/206201/8436000682366 frente.jpg?v=638841300679800000,SD2019-0004494,112100.0,Colágeno Con Magnesio Comprimido,FRASCO X 180 CAP,10027,"Comprimido a $622,78",10029,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/colageno-con-magnesio-comprimido-8436000682366/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/210158/644216131006.jpg?v=638991591644370000,SD2021-0004575,63050.0,Fish Omega 3 1360Mg Capsula Blanda Hac,FRASCO X 60 CAP,16040,"Capsula a $1.050,83",16148,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/fish-omega-3-1360mg-capsula-blanda-hac-644216131006/p
NUTRABIOTICS S A S,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/192379/7709305889220.jpg?v=638311081240230000,SD2012-0002618,65400.0,PROBIOESSENS VIT C + SELENIO POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,UNIDAD,12289,"Unidad a $65.400,00",12295,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/probioessens-vit-c--selenio-polvo-para-reconstituir-a-solucion-oral-7709305889220/p
